contrast,metric,difference,ci95_low,ci95_high
IDR-minus_progress,AUBPC,0.6105554012345635,0.3253045138888783,0.9035543711419778
IDR-minus_progress,F1_10,0.11944444444444713,-0.36337499999999656,0.7144722222222306
IDR-minus_progress,F1_25,1.1816666666666862,0.3910972222222126,1.7439027777777918
IDR-minus_progress,F1_50,0.6449999999999818,0.18829166666665847,1.26625000000001
IDR-minus_answer_reasoning,AUBPC,0.566729475308648,0.3493755825617379,0.799350297067901
IDR-minus_answer_reasoning,F1_10,0.6850000000000023,0.1054861111111098,1.3978055555555604
IDR-minus_answer_reasoning,F1_25,0.47833333333333883,-0.11952777777777363,0.9934166666666718
IDR-minus_answer_reasoning,F1_50,0.8527777777777672,0.41273611111109626,1.4733472222222113
IDR-minus_evidence,AUBPC,-0.012450617283953136,-0.10547973379630111,0.07922885416666262
IDR-minus_evidence,F1_10,-0.04611111111110233,-0.34279166666667216,0.24336111111111694
IDR-minus_evidence,F1_25,0.0072222222222251276,-0.4016666666666566,0.4055555555555589
IDR-minus_evidence,F1_50,-0.0733333333333448,-0.3855972222222153,0.34556944444443094
IDR-minus_alignment,AUBPC,0.3181555555555562,0.10023908179011531,0.5554761304012328
IDR-minus_alignment,F1_10,0.46611111111111114,-0.12556944444443233,0.866708333333313
IDR-minus_alignment,F1_25,0.4288888888889062,-0.10338888888888693,1.0666666666666706
IDR-minus_alignment,F1_50,0.25555555555553866,-0.228902777777785,0.8067222222222343
IDR-Reduced14D,AUBPC,0.3725429012345671,0.12366304783949626,0.6298132870370319
IDR-Reduced14D,F1_10,0.541111111111114,-0.06176388888890329,0.9972777777777821
IDR-Reduced14D,F1_25,0.8538888888889105,0.14934722222221275,1.4283750000000222
IDR-Reduced14D,F1_50,0.3433333333333266,-0.1689027777777758,0.9761527777777755
