method,AUBPC,F1_10,F1_25,F1_50
IDR,55.72222484567901,51.63722222222222,57.9188888888889,60.70444444444443
minus_progress,55.111669444444445,51.51777777777777,56.737222222222215,60.059444444444445
minus_answer_reasoning,55.15549537037036,50.95222222222222,57.44055555555556,59.85166666666666
minus_evidence,55.73467546296296,51.68333333333332,57.911666666666676,60.77777777777777
minus_alignment,55.40406929012345,51.17111111111111,57.489999999999995,60.44888888888889
Reduced14D,55.34968194444444,51.09611111111111,57.06499999999999,60.3611111111111
