dataset,queries,DPA_AUBPC,IDR_AUBPC_cached,difference_pp,ci_low,ci_high
2wiki,600,58.19886666666667,68.2887125,10.089845833333335,8.137401284722305,11.9668718402775
hotpotqa,600,57.28756111111111,61.84536805555556,4.557806944444451,3.2936336458332662,5.908347812500208
musique,600,29.224562499999998,31.994662500000004,2.7701000000000064,1.5798164583333687,3.9177466319445733
