method,actions,budget_fraction,mean_f1_pp
DPA,0,0.0,40.48277777777778
DPA,1,0.0002777777777777778,40.538333333333334
DPA,2,0.0005555555555555556,40.56611111111111
DPA,3,0.0008333333333333334,40.58833333333333
DPA,4,0.0011111111111111111,40.58833333333333
DPA,5,0.001388888888888889,40.58833333333333
DPA,6,0.0016666666666666668,40.58833333333333
DPA,7,0.0019444444444444444,40.58833333333333
DPA,8,0.0022222222222222222,40.58444444444444
DPA,9,0.0025,40.58444444444444
DPA,10,0.002777777777777778,40.58444444444444
DPA,11,0.0030555555555555557,40.602777777777774
DPA,12,0.0033333333333333335,40.56111111111112
DPA,13,0.003611111111111111,40.56111111111112
DPA,14,0.0038888888888888888,40.56111111111112
DPA,15,0.004166666666666667,40.56111111111112
DPA,16,0.0044444444444444444,40.55388888888889
DPA,17,0.004722222222222222,40.55388888888889
DPA,18,0.005,40.55388888888889
DPA,19,0.005277777777777778,40.55388888888889
DPA,20,0.005555555555555556,40.55388888888889
DPA,21,0.005833333333333334,40.55388888888889
DPA,22,0.006111111111111111,40.55388888888889
DPA,23,0.006388888888888889,40.55388888888889
DPA,24,0.006666666666666667,40.55388888888889
DPA,25,0.006944444444444444,40.60944444444445
DPA,26,0.007222222222222222,40.60944444444445
DPA,27,0.0075,40.60944444444445
DPA,28,0.0077777777777777776,40.60944444444445
DPA,29,0.008055555555555555,40.56777777777778
DPA,30,0.008333333333333333,40.58166666666666
DPA,31,0.008611111111111111,40.58166666666666
DPA,32,0.008888888888888889,40.58166666666666
DPA,33,0.009166666666666667,40.60944444444445
DPA,34,0.009444444444444445,40.60944444444445
DPA,35,0.009722222222222222,40.665
DPA,36,0.01,40.620555555555555
DPA,37,0.010277777777777778,40.620555555555555
DPA,38,0.010555555555555556,40.67611111111111
DPA,39,0.010833333333333334,40.69
DPA,40,0.011111111111111112,40.69
DPA,41,0.01138888888888889,40.69611111111111
DPA,42,0.011666666666666667,40.702777777777776
DPA,43,0.011944444444444445,40.702777777777776
DPA,44,0.012222222222222223,40.702777777777776
DPA,45,0.0125,40.702777777777776
DPA,46,0.012777777777777779,40.702777777777776
DPA,47,0.013055555555555556,40.702777777777776
DPA,48,0.013333333333333334,40.702777777777776
DPA,49,0.01361111111111111,40.75833333333333
DPA,50,0.013888888888888888,40.81388888888889
DPA,51,0.014166666666666666,40.81388888888889
DPA,52,0.014444444444444444,40.81388888888889
DPA,53,0.014722222222222222,40.83222222222223
DPA,54,0.015,40.88777777777778
DPA,55,0.015277777777777777,40.88777777777778
DPA,56,0.015555555555555555,40.94333333333333
DPA,57,0.015833333333333335,40.94333333333333
DPA,58,0.01611111111111111,40.94333333333333
DPA,59,0.01638888888888889,40.94333333333333
DPA,60,0.016666666666666666,40.94333333333333
DPA,61,0.016944444444444446,40.94333333333333
DPA,62,0.017222222222222222,40.903888888888886
DPA,63,0.0175,40.903888888888886
DPA,64,0.017777777777777778,40.903888888888886
DPA,65,0.018055555555555554,40.922222222222224
DPA,66,0.018333333333333333,40.922222222222224
DPA,67,0.01861111111111111,40.90833333333334
DPA,68,0.01888888888888889,40.96388888888889
DPA,69,0.019166666666666665,40.96388888888889
DPA,70,0.019444444444444445,40.95444444444444
DPA,71,0.01972222222222222,40.95444444444444
DPA,72,0.02,40.95444444444444
DPA,73,0.020277777777777777,40.95444444444444
DPA,74,0.020555555555555556,40.95444444444444
DPA,75,0.020833333333333332,41.010000000000005
DPA,76,0.021111111111111112,41.010000000000005
DPA,77,0.021388888888888888,41.010000000000005
DPA,78,0.021666666666666667,41.065555555555555
DPA,79,0.021944444444444444,41.06166666666667
DPA,80,0.022222222222222223,41.06166666666667
DPA,81,0.0225,41.06166666666667
DPA,82,0.02277777777777778,41.071111111111115
DPA,83,0.023055555555555555,41.07944444444445
DPA,84,0.023333333333333334,41.135
DPA,85,0.02361111111111111,41.14833333333333
DPA,86,0.02388888888888889,41.14833333333333
DPA,87,0.024166666666666666,41.14833333333333
DPA,88,0.024444444444444446,41.14833333333333
DPA,89,0.024722222222222222,41.14833333333333
DPA,90,0.025,41.14833333333333
DPA,91,0.025277777777777777,41.14833333333333
DPA,92,0.025555555555555557,41.14833333333333
DPA,93,0.025833333333333333,41.14833333333333
DPA,94,0.026111111111111113,41.20388888888889
DPA,95,0.02638888888888889,41.20388888888889
DPA,96,0.02666666666666667,41.20388888888889
DPA,97,0.026944444444444444,41.25944444444444
DPA,98,0.02722222222222222,41.25944444444444
DPA,99,0.0275,41.25944444444444
DPA,100,0.027777777777777776,41.25944444444444
DPA,101,0.028055555555555556,41.24111111111111
DPA,102,0.028333333333333332,41.24111111111111
