replicate,sample_sha256,IDR_AUBPC,DPA_AUBPC,IDR_minus_DPA_pp
1,9c870cdf9f071e963fdc1169c771a0aa4b5cc5ce5e22be3527225924d92d3607,54.87509151234569,47.095575308641976,7.779516203703714
2,f7cd9b9b20a04a6d2269a147c0c2b976d81d835b5a80a7988fadfc882c9bd93d,56.305274999999995,48.53851712962964,7.7667578703703555
3,2e5083d60bca13bcc186708e6e58bc9f04368c8acd03282c9161f226b02bdfe6,57.74279938271604,49.674561265432104,8.06823811728394
4,0f84eb4061993bd0ab1fc4153a9e5ce7c2b138cb859cb128ca38e1dcb58216d4,57.96193225308642,50.270465277777774,7.691466975308643
5,8338f2e54432a11ba5ddfe3c44482decee942b735405124f23863db1bb73b68b,54.570644290123454,47.549223765432096,7.021420524691358
6,d0417fd0161d5746adc8050cacea74994576360c3dfb4459f90d986617942665,57.03867854938272,49.45749891975309,7.581179629629631
7,f7b75dc390311779f6034093968fc3d38581fd110b2fe8a5d8787126c22a8699,55.08945478395062,47.722359259259264,7.367095524691358
8,f2535584171e963f143788e76f441fa5b975e0fb0b9370ea914bc53b1d570485,57.20378904320988,49.05043981481482,8.153349228395058
9,7c3fbc6811c98057cbf90d3082747346125f44d64633d2c0b3e3fa54250513be,55.144833179012345,47.538840740740746,7.605992438271599
10,acfe59d74b21578028fb0550c2d21cbdb7ce6ecb93b6baa3a59cd45a9b14d320,56.13564459876544,48.68348904320988,7.4521555555555565
11,2e67c1b15b1a5da2262e0216ae82c2d586e2310f7257eb81b4d554d84b316e8d,55.238762037037034,48.314004629629636,6.924757407407398
12,5335366a69e92fc5b0040725ae68f19dd05ece7724473a79d17cb6edbe1540d2,54.52577145061728,46.76331728395061,7.762454166666664
13,2eb21b7c7d967d5c3e3ce8b9a805372b22a8c81671af8a8e4bacd4dc8ef06efd,56.07588564814816,49.02099845679012,7.054887191358041
14,26c2cce265f41c92851d99bf1766f18db1b38dc08af633617f7de9f82f25979e,55.673710493827166,48.03877608024692,7.634934413580247
15,55f85b3eac4fcc83a067a275f1089368a89d74f9181f0f63dc92c419cec5a292,55.61028055555554,48.124035648148144,7.4862449074073965
16,3504b6186de84b61810a48a673c760dc697b57429d0b53460015a4554f15e8f9,54.82761388888889,47.68964259259259,7.1379712962963
17,0e48516c7643545d2523776ead939873fbfa6b4e24bab19230d01f5c42cf435f,55.0529214506173,47.09563811728395,7.957283333333351
18,d746eb75bfbf66874b37d809c97c8c4e607cda6a263b351d463b3227d6dd9dce,54.92627623456791,47.71008333333333,7.216192901234578
19,5fe1dfa9d1be84f04c9e76c7792d48ca9f4174b93b31a58638d8f1af3b55b04a,56.09721219135803,48.58003719135802,7.517175000000016
20,b0760979a81a6e35e0eb780f89b37615e1f4c6c3ee867aa1125e95409df2dc19,55.59443672839505,48.18114490740741,7.413291820987645
21,928e7187506a0dfde3fa0d73d13a5108f832ead8548abfb008a4c026b19a3183,55.57376296296296,48.5529125,7.020850462962962
